SENTENCE_ID,rating_qwen
K_1000000,5
K_1016,5
K_1042,4
K_1059,5
K_1110,5
K_1117,3
K_1123,3
K_1124,4
K_1134,3
K_1174,3
K_1234,5
K_1237,3
K_1267,3
K_1290,5
K_1310,4
K_1314,2
K_1434,3
K_1477,5
K_1567,2
K_1598,2
K_1647,4
K_1658,4
K_1719,4
K_1733,5
K_1744,5
K_1757,4
K_1815,4
K_1865,2
K_1902,5
K_1951,2
K_1973,2
K_1992,5
K_2003,5
K_2025,5
K_2038,2
K_2051,2
K_2052,2
K_2074,2
K_2088,5
K_2090,2
K_2131,2
K_216,3
K_2167,2
K_2169,4
K_223,3
K_2240,3
K_2251,3
K_2307,3
K_247,5
K_2552,5
K_2570,5
K_2586,5
K_259,2
K_2658,5
K_2685,5
K_269,5
K_270,2
K_2776,5
K_2846,4
K_2949,3
K_2989,2
K_3015,5
K_3076,5
K_3158,4
K_3264,5
K_3295,2
K_3318,5
K_3343,4
K_3350,2
K_3355,5
K_34,5
K_3402,3
K_3436,5
K_3440,3
K_3528,2
K_3546,3
K_357,4
K_3734,5
K_378,5
K_3850,2
K_3853,2
K_3949,2
K_4011,3
K_4121,2
K_421,4
K_422,5
K_428,2
K_492,2
K_495,4
K_56,4
K_560,4
K_58,4
K_589,5
K_619,5
K_627,3
K_633,2
K_694,5
K_723,4
K_845,5
K_911,4
W_1,2
W_100,2
W_103,2
W_121,2
W_122,2
W_14,2
W_145,2
W_153,2
W_163,2
W_169,2
W_17,2
W_177,3
W_204,2
W_205,2
W_209,2
W_227,3
W_228,2
W_232,2
W_237,2
W_268,3
W_281,2
W_291,2
W_298,4
W_303,2
W_311,2
W_316,2
W_321,2
W_344,3
W_353,2
W_373,2
W_377,2
W_407,2
W_408,2
W_413,2
W_416,2
W_422,2
W_423,2
W_427,2
W_430,2
W_431,2
W_443,2
W_446,2
W_447,2
W_452,2
W_458,2
W_463,2
W_464,2
W_475,2
W_480,2
W_485,2
W_49,2
W_5,2
W_511,2
W_529,2
W_530,2
W_533,2
W_538,4
W_541,2
W_544,2
W_560,2
W_561,2
W_581,2
W_583,2
W_59,2
W_590,2
W_597,2
W_60,2
W_613,3
W_615,2
W_623,2
W_629,2
W_641,2
W_650,2
W_652,2
W_661,2
W_666,2
W_671,2
W_672,2
W_673,2
W_675,4
W_681,2
W_692,2
W_703,2
W_705,2
W_712,2
W_719,2
W_726,2
W_733,2
W_739,1
W_75,2
W_750,2
W_751,2
W_761,2
W_762,2
W_768,2
W_769,2
W_771,2
W_778,2
W_781,2
W_787,2
K_1000000,5
K_1016,5
K_1042,4
K_1059,5
K_1110,5
K_1117,3
K_1123,3
K_1124,4
K_1134,3
K_1174,3
K_1234,5
K_1237,3
K_1267,3
K_1290,5
K_1310,4
K_1314,2
K_1434,3
K_1477,5
K_1567,2
K_1598,2
K_1647,4
K_1658,4
K_1719,4
K_1733,4
K_1744,5
