SENTENCE_ID,rating_mistral
K_1000000,6
K_1016,5
K_1042,5
K_1059,5
K_1110,6
K_1117,5
K_1123,4
K_1124,4
K_1134,4
K_1174,4
K_1234,5
K_1237,4
K_1267,5
K_1290,5
K_1310,5
K_1314,2
K_1434,4
K_1477,5
K_1567,2
K_1598,3
K_1647,4
K_1658,5
K_1719,5
K_1733,5
K_1744,5
K_1757,5
K_1815,4
K_1865,3
K_1902,5
K_1951,2
K_1973,3
K_1992,4
K_2003,5
K_2025,5
K_2038,2
K_2051,3
K_2052,3
K_2074,2
K_2088,5
K_2090,2
K_2131,3
K_216,4
K_2167,2
K_2169,5
K_223,5
K_2240,5
K_2251,4
K_2307,5
K_247,5
K_2552,5
K_2570,5
K_2586,5
K_259,3
K_2658,5
K_2685,5
K_269,5
K_270,4
K_2776,5
K_2846,5
K_2949,4
K_2989,3
K_3015,5
K_3076,5
K_3158,4
K_3264,4
K_3295,2
K_3318,6
K_3343,5
K_3350,3
K_3355,5
K_34,5
K_3402,3
K_3436,5
K_3440,3
K_3528,3
K_3546,4
K_357,4
K_3734,5
K_378,5
K_3850,4
K_3853,3
K_3949,2
K_4011,3
K_4121,4
K_421,4
K_422,5
K_428,3
K_492,3
K_495,4
K_56,4
K_560,5
K_58,4
K_589,5
K_619,5
K_627,5
K_633,3
K_694,5
K_723,3
K_845,5
K_911,5
W_1,4
W_100,3
W_103,3
W_121,2
W_122,3
W_14,4
W_145,2
W_153,2
W_163,3
W_169,3
W_17,3
W_177,4
W_204,3
W_205,2
W_209,3
W_227,5
W_228,3
W_232,2
W_237,2
W_268,5
W_281,2
W_291,2
W_298,5
W_303,3
W_311,3
W_316,3
W_321,2
W_344,3
W_353,3
W_373,3
W_377,2
W_407,2
W_408,3
W_413,2
W_416,3
W_422,3
W_423,2
W_427,3
W_430,2
W_431,3
W_443,2
W_446,2
W_447,3
W_452,2
W_458,2
W_463,2
W_464,2
W_475,2
W_480,2
W_485,3
W_49,3
W_5,3
W_511,3
W_529,4
W_530,3
W_533,3
W_538,5
W_541,3
W_544,2
W_560,2
W_561,2
W_581,3
W_583,3
W_59,2
W_590,2
W_597,2
W_60,3
W_613,4
W_615,3
W_623,3
W_629,3
W_641,3
W_650,3
W_652,3
W_661,3
W_666,2
W_671,2
W_672,2
W_673,3
W_675,4
W_681,3
W_692,3
W_703,3
W_705,4
W_712,2
W_719,3
W_726,3
W_733,2
W_739,2
W_75,2
W_750,3
W_751,3
W_761,2
W_762,3
W_768,2
W_769,3
W_771,3
W_778,2
W_781,2
W_787,2
K_1000000,6
K_1016,5
K_1042,5
K_1059,5
K_1110,6
K_1117,5
K_1123,4
K_1124,4
K_1134,4
K_1174,4
K_1234,5
K_1237,4
K_1267,5
K_1290,5
K_1310,5
K_1314,2
K_1434,4
K_1477,5
K_1567,2
K_1598,3
K_1647,4
K_1658,5
K_1719,5
K_1733,5
K_1744,5
K_1757,5
K_1815,4
K_1865,3
K_1902,5
K_1951,2
K_1973,3
K_1992,4
K_2003,5
K_2025,5
K_2038,2
K_2051,3
K_2052,3
K_2074,2
K_2088,5
K_2090,2
K_2131,3
K_216,4
K_2167,2
K_2169,5
K_223,5
K_2240,5
K_2251,4
K_2307,5
K_247,5
K_2552,5
K_2570,5
K_2586,5
K_259,3
K_2658,5
K_2685,5
K_269,5
K_270,4
K_2776,5
K_2846,5
K_2949,4
K_2989,3
K_3015,5
K_3076,5
K_3158,4
K_3264,4
K_3295,2
K_3318,6
K_3343,5
K_3350,3
K_3355,5
K_34,5
K_3402,3
K_3436,5
K_3440,3
K_3528,3
K_3546,4
K_357,4
K_3734,5
K_378,5
K_3850,4
K_3853,3
K_3949,2
K_4011,3
K_4121,4
K_421,4
K_422,5
K_428,3
K_492,3
K_495,4
K_56,4
K_560,5
K_58,4
K_589,5
K_619,5
K_627,5
K_633,3
K_694,5
K_723,3
K_845,5
K_911,5
W_1,4
W_100,3
W_103,3
W_121,2
W_122,3
W_14,4
W_145,2
W_153,2
W_163,3
W_169,3
W_17,3
W_177,4
W_204,3
W_205,2
W_209,3
W_227,5
W_228,3
W_232,2
W_237,2
W_268,5
W_281,2
W_291,2
W_298,5
W_303,3
W_311,3
W_316,3
W_321,2
W_344,3
W_353,3
W_373,3
W_377,2
W_407,2
W_408,3
W_413,2
W_416,3
W_422,3
W_423,2
W_427,3
W_430,2
W_431,3
W_443,2
W_446,2
W_447,3
W_452,2
W_458,2
W_463,2
W_464,2
W_475,2
W_480,2
W_485,3
W_49,3
W_5,3
W_511,3
W_529,4
W_530,3
W_533,3
W_538,5
W_541,3
W_544,2
W_560,2
W_561,2
W_581,3
W_583,3
W_59,2
W_590,2
W_597,2
W_60,3
W_613,4
W_615,3
W_623,3
W_629,3
W_641,3
W_650,3
W_652,3
W_661,3
W_666,2
W_671,2
W_672,2
W_673,3
W_675,4
W_681,3
W_692,3
W_703,3
W_705,4
W_712,2
W_719,3
W_726,3
W_733,2
W_739,2
W_75,2
W_750,3
W_751,3
W_761,2
W_762,3
W_768,2
W_769,3
W_771,3
W_778,2
W_781,2
W_787,2
K_1000000,6
K_1016,5
K_1042,5
K_1059,5
K_1110,6
K_1117,5
K_1123,4
K_1124,4
K_1134,4
K_1174,4
K_1234,5
K_1237,4
K_1267,5
K_1290,5
K_1310,5
K_1314,2
K_1434,4
K_1477,5
K_1567,2
K_1598,3
K_1647,4
K_1658,5
K_1719,5
K_1733,5
K_1744,5
K_1757,5
K_1815,4
K_1865,3
K_1902,5
K_1951,2
K_1973,3
K_1992,4
K_2003,5
K_2025,5
K_2038,2
K_2051,3
K_2052,3
K_2074,2
K_2088,6
K_2090,2
K_2131,3
K_216,5
K_2167,2
K_2169,5
K_223,5
K_2240,5
K_2251,4
K_2307,4
K_247,5
K_2552,6
K_2570,5
K_2586,5
K_259,3
K_2658,5
K_2685,5
K_269,5
K_270,4
K_2776,6
K_2846,5
K_2949,4
K_2989,3
K_3015,5
K_3076,6
K_3158,4
K_3264,4
K_3295,2
K_3318,6
