ID,TOKEN_ID,SENTENCE_CLEAN,TOKEN,ANNOTATION_FINAL,MET_TYPE
34,0,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Der,Non-MRW,Non-MRW
34,1,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",feine,WIDLII,WIDLII
34,2,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Regen,Non-MRW,Non-MRW
34,4,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",der,Non-MRW,Non-MRW
34,5,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",noch,Non-MRW,Non-MRW
34,6,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",immer,Non-MRW,Non-MRW
34,7,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",anhielt,WIDLII,WIDLII
34,9,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",die,Non-MRW,Non-MRW
34,10,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",Dunkelheit,Non-MRW,Non-MRW
34,11,"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",der,Non-MRW,Non-MRW
