SENTENCE_CLEAN,SENTENCE_ID,METAPHOR_DENSITY
"Stelle dir vor, die Luft wird ganz blau und warmfeucht in die Straßen hinuntersinken, der Himmel geht dann in Paris spazieren und mischt sich unter die entzückten Menschen.",K_1000000,0.2916666666666667
"Ein Tannenbaum war nicht aus dem Dunkel hervorgewachsen; aber auf dem Tisch stand das große Schloss ""El Escorial"".",K_1016,0.1388888888888889
"Marmor auf den Straßen, herrlich gekleidete Menschen, Häuser aus edlem Gestein, Gärten voll köstlicher Gewächse.",K_1042,0.03333333333333333
"Hunderte von roten Häufchen glühender Holzkohlen glimmten zwischen den Indianergruppen, auf den kleinen Rasenvierecken, zwischen den Wegen und Blumenbeeten des gartenartig bepflanzten Platzes.",K_1059,0.043478260869565216
"Und das Zimmer war nicht hohl, sondern bestand aus einem Stoff, den es unter den Stoffen des Tages nicht gibt, einem schwarz durchsichtigen und schwarz zu durchfühlenden Stoff, aus dem auch ich bestand.",K_1110,0.3181818181818182
"Weit hinten liegt die große Stadt, die graue Stadt in Dunst und Rauch.",K_1117,0.23076923076923078
Girlanden mit Lampions quer über den Hof von Flurfenster zu Flurfenster.,K_1123,0.0
"Man hörte die Mädchen in den Zimmern flüstern, die Türen waren so dünn, vielleicht nur angelehnt?",K_1124,0.0
"Innerhalb der Laube befanden sich rechts und links von der Mauerecke je eine viereckige, fensterähnliche Öffnung, welche von einem Vorhang grüner Blätter bedeckt waren.",K_1134,0.043478260869565216
"Das Bett des Baches bestand aus leichtem, tiefem Sand, welcher sich unschwer ausgraben ließ.",K_1174,0.07692307692307693
"Eine geöffnete niedrige Tür – und zu ihren Füßen eine riesige, in Halbdunkel getauchte, dunstige, mit Köpfen bunt besetzte Höhle; rote, in der schwülen Luft fast erstickende Lichtzünglein.",K_1234,0.2857142857142857
"Hier hatte die junge Magd aufgeräumt, die Unordnung und der Dunst waren verschwunden, eine schöne Lampe mit mattgeschliffener Kristallkuppel brannte auf dem runden Tisch vor dem Diwan.",K_1237,0.08928571428571429
"Wie war ich erstaunt, ein Logis zu sehen, welches aus Vor-, Wohn-, Schlafzimmer und Badestube bestand.",K_1267,0.0
"Lichtgrün auch nickten die Baumwipfel des Dusenbachtales auf den silbern plätschernden Bach, und als ob nie frevelnd wilde Hand in ihr stilles Heiligtum gegriffen, stand die Waldkapelle friedvoll mit weitgeöffneter Tür.",K_1290,0.3548387096774194
In einer Ecke stand Gauds schönes Bett mit den weißen Musselinvorhängen; und der frische und elegante Gegenstand nahm sich in der armseligen Keltenhütte ganz merkwürdig aus.,K_1310,0.10416666666666667
"Auch hatte sie hier den Apparat dicht neben sich, während das andere Telefon sich im Bibliothekzimmer befindet.",K_1314,0.0625
"Es war dort angenehm warm, man hörte jetzt von der Straße keinerlei Geräusch mehr, es schien, als wenn er als einzig Lebender eine tote Stadt bewohnte.",K_1434,0.15384615384615385
"Wie aus weiter Ferne klangen die Rhythmen der ""Ballsirenen"" in das versteckte Zimmer, in dem sie saßen, halb beschattet unter den riesigen Fächern einer Latania.",K_1477,0.22
Aber auch auf der Marktseite waren die Vorderzimmer erleuchtet.,K_1567,0.0
"Die Häuser lagen noch im Dunkel, wenige vereinzelte Fenster waren erleuchtet.",K_1598,0.18181818181818182
"Über die Pfützen auf der Straße fiel ein matter Schimmer, so dass die, welche gut Bescheid wußten, auf den hervorragenden Steinen sich einigermaßen trockenen Fußes bewegen konnten.",K_1647,0.11538461538461539
"Seinem Platz gerade gegenüber befand sich die Tür zum zweiten Zimmer, dessen gesamte Einrichtung in dem großen, zwischen Decke und Fußboden fest eingebauten Webstuhl bestand.",K_1658,0.041666666666666664
"Im geräumigen Vorzimmer hingen an den Wänden und lagen auf den Koffern und Bänken viele Männer- und Frauenüberkleider umher, einfache Schafspelze, vornehme Pelzmäntel, altmodische russische Mützen, neue deutsche Dreimaster und Mönchskappen.",K_1719,0.06666666666666667
"Es herrscht zwar auch hier keine Einförmigkeit in der Natur – hohe Schneeberge wechseln mit düsteren Talgründen, reißende Ströme stürzen durch zerklüftete Bergschluchten, die endlosen Ebenen, die der Winter in ungeheure Schneefelder verwandelt, sind im Sommer unter einer grauen Decke von salzigem Alkalistaub begraben – doch eine schrecklichere, trostlosere Gegend findet sich nirgends.",K_1733,0.27
Um diese Stunde strahlte das durch die Geschäfte des Tages erhitzte Pflaster seine Glut über die Stadt hinter der Stadtmauer aus.,K_1744,0.375
"Nun mussten sie doch kommen, die verräucherten Kneipen mit den ausgetretenen Vortreppen und den langen Schildarmen über der Tür, und sie kamen auch.",K_1757,0.125
An diesem Berge hatte sich die Natur endlich einmal wenigstens einigermaßen grün gekleidet.,K_1815,0.08333333333333333
"Die beiden Fenster des Thronsaals, die auf die Straße sahen, standen geöffnet.",K_1865,0.16666666666666666
"Selbst im Alles verklärenden Mondlicht wollte sich's nicht hübsch machen mit seinen kahlen Mauern, dürftigen Bogenfenstern und dem steilen, Wellenlinien bildenden Dach.",K_1902,0.225
Die Straße geht am Güterbahnhof entlang.,K_1951,0.2
Die Sonne lag längst hinter den Bergen.,K_1973,0.2857142857142857
"Zunächst über den Rosenplatz, dann die Rubinstraße hinunter, dann links über die Forellenbrücke, dann durch das kleine Buchrückengässchen in den Garten der Villa ""verlorener Friede""!",K_1992,0.12
"Aus den Abteilungen und Gittern, die längs der beiden Seiten des Zimmers liefen, schauten furchtbare Fratzen heraus: die einen sahen wie Pferdeköpfe aus, andere hatten Hörner, andere wieder lange Ohren.",K_2003,0.14285714285714285
"Wie in der Galerie, aus der wir kommen, habe ich hier zum Schutze gegen die Nachtluft nur Glasscheiben, ganz dünne Vorhänge aus weißer Seide, und Oberfenster aus Reispapier, die überall geplatzt sind.",K_2025,0.15625
Auch ist drinnen kein Platz mehr.,K_2038,0.0
"Max' Zimmer, im Ganzen dunkel gehalten, dunkelrote Tapeten, dunkelrote Portièren.",K_2051,0.1111111111111111
"Die raue Straße, die nach Süden führte und hier und da von Gehöften eingefasst war, war menschenleer.",K_2052,0.26666666666666666
Das ist das Land in den Bergen.,K_2074,0.07142857142857142
"Große, flache Hagelkörner prasselten in weißen Streifen auf sie nieder, legten sich in Perlenreihen in die Falten des Kleides, spritzten von den Mähnen der Pferde ab und sprangen und rollten im Gras herum, als wimmelten sie aus der Erde hervor.",K_2088,0.2638888888888889
Die Fenster des Wohnzimmers standen offen.,K_2090,0.2
Im Salon waren die Lichter erloschen; an ihrer Stelle brannte in dem Balkonzimmer der unteren Etage eine Lampe.,K_2131,0.1111111111111111
"Er sah wieder im Geist die Zelle vor sich, die er in der Zeit seiner theologischen Studien während drei weiterer Jahre innegehabt hatte; geräumiger war sie, einen Sessel gab es, einen Waschtisch, ein Büchergestell; glückliche Kammer, erfüllt von seinen Glaubensträumen.",K_216,0.17073170731707318
Da sind zwei Fenster in dem Zimmer.,K_2167,0.0
Ein Berg schwarzen Gebälks lag in dem verwüsteten Garten.,K_2169,0.2222222222222222
"Ringsum herrschte Totenstille; nur die Holzscheite im Kamin knisterten, der Wind heulte, und der Schnee fiel mehr und mehr durch die ausgefallenen Fenster in den Saal.",K_223,0.11538461538461539
"Auf die achte Stunde erst wies der Zeiger der Uhr, welche sich an der Stirnseite der vielbesuchten Mariahilfer Kirche befindet, die schon vor alter Zeit ihrer ganzen Umgebung den Namen gegeben hat, den der jetzige sechste Bezirk der schönen Kaiserstadt weiterführt.",K_2240,0.1625
"Das Zimmer war groß, sauber, ehrbar und arm.",K_2251,0.25
"Auch hier brannte Tag und Nacht eine Lampe, die an blanken Kettchen von der Decke herabhing, da in das Innere nur Tageslicht eindrang, wenn einmal die Haustür geöffnet wurde.",K_2307,0.06896551724137931
"Die Glastüren zur Veranda standen offen, und der Duft des Flieders drang herein, der wie eine Mauer aus weißem und hellblauem Gewölk den Garten einhegte.",K_247,0.2391304347826087
"Vor Jahrhunderten schon mag das Schloß, das einst in seiner Mitte stand, zerfallen sein; Reste weißer Grundmauern – kaum bis zur Kniehöhe eines Mannes – ragen verloren aus dem wilden, tiefen Gras wie gebleichte gigantische Zahnstümpfe eines Ungeheuers der Vorzeit.",K_2552,0.25
Verhallend drang der Lärm der Straße herauf; gleichmäßig rollte das dumme Leben weiter.,K_2570,0.18181818181818182
"Und eines Morgens, über Nacht, besaß Paris die besten Autostraßen unter allen Städten Europas.",K_2586,0.21428571428571427
"Links war die Tür, die durch ein Bogenportal zum Turm hinaufführte.",K_259,0.09090909090909091
"Die Straße glich einem langen Corridor neben einem Festsaal, wo sich die Gesellschaft zwischen den Tänzen in kühlerem Zwielicht ergeht.",K_2658,0.5
"Ein dreibeiniger Tisch, der ohne Zweifel einst unter die Quadrupeden gehört hatte, war an diese Lagerstatt gezogen; ein leerer Bierkrug, eine halbgeleerte Zigarrenkiste, Tuschnäpfchen, bekritzelte Papiere und andere heterogene Gegenstände bedeckten ihn im reizendsten Mischmasch.",K_2685,0.14705882352941177
"Auf einem dünnbeinigen Tischchen am Fenster war allerhand Gerät zur Schau gestellt, silberne Kannen, zerbrochene Teller, golddurchwirkte Fetzen.",K_269,0.03125
"Und er sah die Zinnen der großen Stadt und ihren goldenen Tempel, den die Morgensonne beleuchtete.",K_270,0.0625
"Hie und da stiegen die Lianen wie Stangen senkrecht oder wie Seile um einander gedreht in den seltsamsten Verschlingungen zur Erde herab, und an ihnen rankte sich ein Dickicht von Passifloren bis zur Krone des Ceiba empor, mit Millionen und Abermillionen von roten, blauen und violetten Passionsblumen besetzt.",K_2776,0.34523809523809523
"Aber in dieser Straße, in welcher mehr Menschen zu wohnen schienen, als im ganzen Trenschiner Komitat, gab es nur ein Fenster, hinter welchem ein rotgrüner Papagei""Marie"" schrie.",K_2846,0.11538461538461539
"Der Makik-Natun ist eigentlich mehr ein Hügel als ein Berg, denn hier gibt es keine wirklichen Berge, ein kurzer, niedriger Höhenzug, welcher seinen Namen der hellen Farbe des dortigen Bodens verdankt.",K_2949,0.03225806451612903
"Der Himmel war bedeckt, so daß es früher als gewöhnlich dämmerte; es hatte geregnet und die Erde duftete.",K_2989,0.0
"Man hätte glauben können: eine Pariserin in ihrem Heim, wären nicht die vergitterten Fenster und die auf kostbaren Seidenstoffen gestickten Inschriften des Islams gewesen, die hier und da die Füllungen der Wandflächen schmückten: der Name Allahs und einige Sprüche des Korans.",K_3015,0.05128205128205128
"Es roch nach Ölfarbe, Mauerstaub lag auf dem Geländer, die Treppen hatten keine Läufer, und in den feuchten, ungemütlichen Dunst des Baumeisterfabrikats grinsten aus den Flurfenstern bunte, pausbäckige Engel, die in jeder Etage Pauke und Triangel schlugen.",K_3076,0.12162162162162163
"Ein flacher Stein, der sich in der Mitte der Hütte befand, diente als Tisch und auf diesem befand sich ein kleines Stoffbündel – dasselbe, ohne Zweifel, das ich durch das Teleskop auf der Schulter des Jungen gesehen hatte.",K_3158,0.02857142857142857
Vom Weg zum Weinberg kam ein guter stiller Schein aus der alten Laterne an der Ecke her.,K_3264,0.11764705882352941
"Ihr kennt mein Zimmer, ich habe schlechtere Möbel als ihr.",K_3295,0.1
"Dahingestreckt am Waldessaum in’s Leichenbett aus moosigem Flaum, gemordet liegt der urälteste Baum.",K_3318,0.23076923076923078
Bloß aus den Fenstern der kleinen efeubewachsenen Dorfkirche schimmerte Licht.,K_3343,0.0
Die Schenke zur Fortuna lag einige hundert Schritte vor der Stadt und zu dieser Stunde der Siesta war wenig Leben in ihr.,K_3350,0.225
"Das Logierhaus selbst war ein ziemlich fragwürdiger Aufenthalt – eine zweistöckige alte Baracke mit giebelartigem Aufbau stand es am Abhang unweit des Meerufers und hatte infolge irgendwelcher Terraineigentümlichkeiten die Gewohnheit, von Jahr zu Jahr tiefer einzusinken, so dass die Fenster des Erdgeschosses sich immer mehr dem Boden näherten.",K_3355,0.11363636363636363
"Der feine Regen, der noch immer anhielt, die Dunkelheit der Nacht, aus der schon fern die hellen Steinrosen der Kirchenfenster wundersam hervorglommen, das verstohlene Schwirren und Summen der Tausende verbreitete ein banges Grausen rings um die Kirche, dessen nur wenige sich erwehren mochten.",K_34,0.18604651162790697
"Aber es bildete sich eine Gasse, durch die hindurch die drei in ruhigere Straßen und zum Haus der verwitweten Frau von Ottersleben gelangen konnten.",K_3402,0.125
"Haus Twieflingen, an der Straße zwischen Braunschweig und Magdeburg gelegen, war ursprünglich eine lüneburgische Enklave im Wolfenbütteler Gebiet, aber bei der Entfernung des Landesherrn war es längst zu einem Zufluchtsort ritterlichen Raubgesindels geworden, welches auf der belebten Handelsstraße fette Weide fand.",K_3436,0.17073170731707318
"In ihrem Hotelzimmer war es schwül und roch nach dem Parfüm, das sie im Japanbazar gekauft hatte.",K_3440,0.058823529411764705
Auf dem Platze waren zwei offene Verschläge aus Mattenflechtwerk errichtet.,K_3528,0.0
