SENTENCE_ID,TOKEN_ID,SENTENCE_CLEAN,TOKEN,ANNOTATION_FINAL,MET_TYPE
W_452,1,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",Gaeta,Non-MRW,Non-MRW
W_452,2,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",kleine,Non-MRW,Non-MRW
W_452,3,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",Hafenstadt,Non-MRW,Non-MRW
W_452,4,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",Provinz,Non-MRW,Non-MRW
W_452,5,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",Latina,MWE,MWE
W_452,6,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",mit,Non-MRW,Non-MRW
W_452,7,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",pittoresker,Non-MRW,Non-MRW
W_452,8,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",Altstadt,Non-MRW,Non-MRW
W_452,9,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",mittelalterliches,Non-MRW,Non-MRW
W_452,10,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",Kastell,Non-MRW,Non-MRW
W_452,11,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",romanischer,Non-MRW,Non-MRW
W_452,12,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",Dom,Non-MRW,Non-MRW
W_452,13,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",mit,Non-MRW,Non-MRW
W_452,14,"Gaeta: kleine Hafenstadt (Provinz Latina) mit pittoresker Altstadt, mittelalterliches Kastell, romanischer Dom mit Glockenturm .",Glockenturm,Non-MRW,Non-MRW
W_781,1,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,Hartman,Non-MRW,Non-MRW
W_781,2,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,National,MWE,MWE
W_781,3,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,Park,MWE,MWE
W_781,4,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,Dieser,Non-MRW,Non-MRW
W_781,5,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,Park,Non-MRW,Non-MRW
W_781,6,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,befindet,Non-MRW,Non-MRW
W_781,7,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,sich,MWE,MWE
W_781,8,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,im,MRW,indirect
W_781,9,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,Südwesten,Non-MRW,Non-MRW
W_781,10,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,von,Non-MRW,Non-MRW
W_781,11,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,Grenada,Non-MRW,Non-MRW
W_781,12,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,und,Non-MRW,Non-MRW
W_781,13,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,schützt,MRW,indirect
W_781,14,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,ein,Non-MRW,Non-MRW
W_781,15,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,Küstengebiet,Non-MRW,Non-MRW
W_781,16,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,mit,Non-MRW,Non-MRW
W_781,17,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,Mangrovenwäldern,Non-MRW,Non-MRW
W_781,18,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,und,Non-MRW,Non-MRW
W_781,19,Hartman National Park: Dieser Park befindet sich im Südwesten von Grenada und schützt ein Küstengebiet mit Mangrovenwäldern und Korallenriffen.,Korallenriffen,Non-MRW,Non-MRW
W_675,1,Ungewöhnlicherweise beherbergt die Mall nur ein einziges Kaufhaus (Super Target).,Ungewöhnlicherweise,Non-MRW,Non-MRW
W_675,2,Ungewöhnlicherweise beherbergt die Mall nur ein einziges Kaufhaus (Super Target).,beherbergt,MRW,indirect
W_675,3,Ungewöhnlicherweise beherbergt die Mall nur ein einziges Kaufhaus (Super Target).,die,Non-MRW,Non-MRW
W_675,4,Ungewöhnlicherweise beherbergt die Mall nur ein einziges Kaufhaus (Super Target).,Mall,Non-MRW,Non-MRW
W_675,5,Ungewöhnlicherweise beherbergt die Mall nur ein einziges Kaufhaus (Super Target).,nur,Non-MRW,Non-MRW
W_675,6,Ungewöhnlicherweise beherbergt die Mall nur ein einziges Kaufhaus (Super Target).,ein,Non-MRW,Non-MRW
W_675,7,Ungewöhnlicherweise beherbergt die Mall nur ein einziges Kaufhaus (Super Target).,einziges,Non-MRW,Non-MRW
W_675,8,Ungewöhnlicherweise beherbergt die Mall nur ein einziges Kaufhaus (Super Target).,Kaufhaus,Non-MRW,Non-MRW
W_675,9,Ungewöhnlicherweise beherbergt die Mall nur ein einziges Kaufhaus (Super Target).,Super,Non-MRW,Non-MRW
W_675,10,Ungewöhnlicherweise beherbergt die Mall nur ein einziges Kaufhaus (Super Target).,Target,MWE,MWE
W_373,1,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,Neben,MRW,indirect
W_373,2,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,den,Non-MRW,Non-MRW
W_373,3,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,Casinos,Non-MRW,Non-MRW
W_373,4,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,im,Non-MRW,Non-MRW
W_373,5,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,Süden,Non-MRW,Non-MRW
W_373,6,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,der,Non-MRW,Non-MRW
W_373,7,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,Halbinsel,Non-MRW,Non-MRW
W_373,8,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,sind,Non-MRW,Non-MRW
W_373,9,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,gerade,MRW,indirect
W_373,10,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,die,Non-MRW,Non-MRW
W_373,11,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,alten,Non-MRW,Non-MRW
W_373,12,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,Kolonialbauten,Non-MRW,Non-MRW
W_373,13,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,aus,MRW,indirect
W_373,14,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,der,Non-MRW,Non-MRW
W_373,15,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,portugiesischen,Non-MRW,Non-MRW
W_373,16,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,Vergangenheit,MRW,indirect
W_373,17,Neben den Casinos im Süden der Halbinsel sind gerade die alten Kolonialbauten aus der portugiesischen Vergangenheit sehenswert.,sehenswert,Non-MRW,Non-MRW
W_530,1,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",Im,MRW,indirect
W_530,2a,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",Insel,Non-MRW,Non-MRW
W_530,2b,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",kern,MRW,indirect
W_530,3,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",eingerahmt,MRW,indirect
W_530,4,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",vom,Non-MRW,Non-MRW
W_530,5,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",Deich,Non-MRW,Non-MRW
W_530,6,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",befinden,Non-MRW,Non-MRW
W_530,7,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",sich,MWE,MWE
W_530,8,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",die,Non-MRW,Non-MRW
W_530,9,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",Äcker,Non-MRW,Non-MRW
W_530,10,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",Strassen,Non-MRW,Non-MRW
W_530,11,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",Höfe,Non-MRW,Non-MRW
W_530,12,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",und,Non-MRW,Non-MRW
W_530,13,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",auch,Non-MRW,Non-MRW
W_530,14,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",alle,Non-MRW,Non-MRW
W_530,15,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",anderen,Non-MRW,Non-MRW
W_530,16,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",Gebäude,Non-MRW,Non-MRW
W_530,17,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",der,Non-MRW,Non-MRW
W_530,18,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",Insel,Non-MRW,Non-MRW
W_530,19,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",sicher,Non-MRW,Non-MRW
W_530,20,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",geschützt,Non-MRW,Non-MRW
W_530,21,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",vor,MRW,indirect
W_530,22a,"Im Inselkern, eingerahmt vom Deich, befinden sich die Äcker, Strassen, Höfe und auch alle anderen Gebäude der Insel sicher geschützt vor Sturmfluten und Überschwemmungen.",Sturmfluten,Non-MRW,Non-MRW
