SENTENCE_ID,iteration,GPT-5,Qwen2.5-32B-Instruct,Mistral-Small-3.2-24B-Instruct,Llama-3.2-3B
K_1000000,0,6,5,6,2
K_1000000,1,6,5,6,5
K_1000000,2,6,5,6,5
K_1000000,3,6,5,6,4
K_1000000,4,6,5,6,5
K_1000000,5,6,5,6,2
K_1000000,6,6,5,6,4
K_1000000,7,6,5,6,4
K_1000000,8,6,5,6,3
K_1000000,9,6,5,6,5
K_1016,0,6,5,5,4
K_1016,1,6,5,5,5
K_1016,2,6,5,5,4
K_1016,3,6,5,5,4
K_1016,4,6,5,5,5
K_1016,5,6,5,5,4
K_1016,6,6,5,5,4
K_1016,7,6,5,5,3
K_1016,8,6,5,5,5
K_1016,9,6,5,5,5
K_1042,0,4,4,5,4
K_1042,1,3,4,5,5
K_1042,2,3,4,5,5
K_1042,3,2,4,5,4
K_1042,4,3,4,5,4
K_1042,5,3,4,5,4
K_1042,6,3,4,5,4
K_1042,7,3,4,5,5
K_1042,8,3,4,5,5
K_1042,9,3,4,5,5
K_1059,0,5,5,5,5
K_1059,1,5,5,5,5
K_1059,2,5,5,5,4
K_1059,3,5,5,5,3
K_1059,4,5,5,5,5
K_1059,5,5,5,5,4
K_1059,6,5,5,5,4
K_1059,7,5,5,5,5
K_1059,8,5,5,5,5
K_1059,9,5,5,5,5
K_1110,0,6,5,6,5
K_1110,1,6,5,6,5
K_1110,2,6,5,6,3
K_1110,3,6,5,6,4
K_1110,4,6,5,6,5
K_1110,5,6,5,6,4
K_1110,6,6,5,6,5
K_1110,7,6,5,6,4
K_1110,8,6,5,6,5
K_1110,9,6,5,6,3
K_1117,0,3,3,5,5
K_1117,1,3,3,5,4
K_1117,2,3,3,5,5
K_1117,3,3,3,5,3
K_1117,4,3,3,5,5
K_1117,5,2,3,5,5
K_1117,6,3,3,5,3
K_1117,7,3,3,5,5
K_1117,8,3,3,5,4
K_1117,9,3,3,5,5
K_1123,0,3,3,4,4
K_1123,1,3,3,4,3
K_1123,2,3,3,4,4
K_1123,3,3,3,4,5
K_1123,4,3,3,4,4
K_1123,5,3,3,4,5
K_1123,6,3,3,4,3
K_1123,7,2,3,4,4
K_1123,8,3,3,4,5
K_1123,9,3,3,4,4
K_1124,0,2,4,4,3
K_1124,1,2,4,4,4
K_1124,2,3,4,4,4
K_1124,3,3,4,4,3
K_1124,4,3,4,4,4
K_1124,5,2,4,4,4
K_1124,6,3,4,4,4
K_1124,7,2,4,4,5
K_1124,8,2,4,4,4
K_1124,9,2,4,4,5
K_1134,0,3,3,4,4
K_1134,1,3,3,4,4
K_1134,2,3,3,4,4
K_1134,3,3,3,4,4
K_1134,4,3,4,4,3
K_1134,5,3,3,4,2
K_1134,6,2,3,4,4
K_1134,7,3,3,4,3
K_1134,8,3,3,4,4
K_1134,9,2,3,4,4
K_1174,0,2,3,4,3
K_1174,1,2,3,4,2
K_1174,2,2,3,4,2
K_1174,3,2,3,4,3
K_1174,4,2,3,4,3
K_1174,5,2,3,4,4
K_1174,6,2,3,4,4
K_1174,7,2,3,4,4
K_1174,8,2,3,4,4
K_1174,9,2,3,4,4
K_1234,0,6,5,5,5
K_1234,1,6,5,5,5
K_1234,2,6,5,5,5
K_1234,3,6,5,5,5
K_1234,4,6,5,5,4
K_1234,5,6,5,5,5
K_1234,6,6,5,5,5
K_1234,7,6,5,5,5
K_1234,8,6,5,5,5
K_1234,9,6,5,5,4
K_1237,0,3,3,4,4
K_1237,1,4,2,4,5
K_1237,2,3,3,4,4
K_1237,3,4,3,4,4
K_1237,4,3,3,4,5
K_1237,5,3,2,4,4
K_1237,6,4,3,4,5
K_1237,7,3,3,4,3
